Title,Investigators,Investigator1,Investigator2,Investigator3,Investigator4,Investigator5,Investigator6,Investigator7,Investigator8,Investigator9,ContractPeriod,EndYear,FundingAgency,UW#,DNR#
Establishing Paleoclimate Records from Spring Tufa Deposits in the Driftless Area of Wisconsin,M. Muldoon UW-Osh; S. Swanson Beloit Col.,M. Muldoon UW-Osh, S. Swanson,,,,,,,,"7/1/2011 -
6/30/2012",2012,UWS,WR11R 004,
Preferential flow paths in heterogeneous glacially-deposited aquitards,D. Hart WGNHS,D. Hart WGNHS,,,,,,,,,"7/1/2011 -
6/30/2012",2012,UWS,WR11R 005,
The effects of particulate organic carbon quantity and quality on denitrification of groundwater nitrate,"R. Stelzer, T. Scott, L. Bartsch UW-Osh",R. Stelzer, T. Scott, L. Bartsch,,,,,,,"7/1/2011 -
6/30/2013",2013,UWS,WR11R 006,
Climate change impacts on stream temperature and flow: consequences for Great Lakes fish migrations,P. McIntyre UW-Mad,P. McIntyre ,,,,,,,,,"3/1/2011 –
2/28/2013",2013,"UWS/
USGS**",WR11R 002,
Simulating lake responses to climate change with a mechanistic water quality model,K. McMahon UW-Mad,K. McMahon,,,,,,,,,"3/1/2011 –
2/28/2013",2013,"UWS/
USGS**",WR11R 001,
Uncertainty and variability of Wisconsin lakes in response to climate change,C. Wu,C. Wu,,,,,,,,,"3/1/2011 –
2/28/2013",2013,UWS/ USGS,WR11R 003,
Identifying the controls on flow and contaminant distribution in siliciclastic bedrock aquifer systems,D. Hart WGNHS,D. Hart ,,,,,,,,,"7/1/2012 -
6/30/2014",2014,UWS,WR12R 001,
Effects of nuanced changes in lot layout and impervious area connectivity on urban recharge,S. Loheide UW-Mad,S. Loheide ,,,,,,,,,"7/1/2012 -
6/30/2014",2014,UWS,WR12R 002,
"An evaluation of the distribution and sources of dissolved strontium in the groundwater of eastern Wisconsin, with a focus on Brown and Outagamie counties","J. Luczaj, M. Zorn UW-GB",J. Luczaj, M. Zorn ,,,,,,,,"7/1/2012 -
6/30/2013",2013,UWS,WR12R 004,
Transport of manure-derived Escherichia coli within naturally- fractured dolomite,Xu UW-Mil,Xu UW-Mil,,,,,,,,,"7/1/2012 -
6/30/2014",2014,UWS,WR12R 003,
Hexavalent chromium (Cr(VI)) in WI groundwater: Identifying factors controlling the natural concentration and geochemical cycling in a diverse set of aquifers,"P. Gorski, UW-Mad",P. Gorski,,,,,,,,,"7/1/2012 -
6/30/2014",2014,UWS,WR12R 005,
Evaluation of manure and N fertilizer management strategies for corn to minimize nitrate loss,"C. Laboski, UW-Mad",C. Laboski,,,,,,,,,"7/1/2012 -
6/30/2013",2013,DNR,,211
Selection and evaluation of chemical indicators for waste stream identification,"W. DeVita, UW-SP",W. DeVita,,,,,,,,,"7/1/2012 -
6/30/2014",2014,DNR,,212
Meeting monitoring and information needs to support groundwater management and policy processes in the Wisconsin Central Sands,"G. Kraft, UW-SP",G. Kraft,,,,,,,,,"7/1/2012 -
6/30/2014",2014,DNR,,213
Subsurface fate and transport of cryptosporidium in soils of Wisconsin’s carbonate aquifer region,"K.J. Karthikeyan, UW- Mad.",K.J. Karthikeyan,,,,,,,,,"7/1/2012 -
6/30/2014",2014,DNR,,214
Impacts of potato and maize management and climate change on groundwater recharge across the Central Sands,"Chris Kucharik, UW-Mad",Chris Kucharik,,,,,,,,,"7/1/2012 -
6/30/2014",2014,DNR,,215
Microbial community diversity as a predictor of virus survival in groundwater,"Trina McMahon, UW- MSN and Mark Borchardt, USDA",Trina McMahon,  Mark Borchardt,,,,,,,,"7/1/13-
6/30/15",2015,UWS,WR13R 001,
Assessing the Effect of Riverbank Inducement on Groundwater Quality,"Tim Grundl, UW- Milwaukee",Tim Grundl,,,,,,,,,"7/1/13-
6/30/15",2015,UWS,WR13R 002,
Using the New Rome Formation as a geologic weighing lysimeter for water management in Wisconsin’s sand plain,"Hart, Bradbury, Parsen",Hart, Bradbury, Parsen,,,,,,,"7/1/2013 -
6/30/14",2014,DNR,,216
Impacts of a rural subdivision on groundwater: results of a decade of monitoring,"Bradbury, Rayne, Parsen",Bradbury, Rayne, Parsen,,,,,,,"7/1/2013 -
6/30/14",2014,DNR,,217
"Characterizing the sources of elevated groundwater nitrate in Dane County, WI","McDonald, Lathrop, Bradbury, Sorsa",McDonald, Lathrop, Bradbury, Sorsa,,,,,,"7/1/2013 -
6/30/15",2015,DNR,,218
Evaluating Chemical Tracers in Suburban Groundwater as Indicators of Nitrate-Nitrogen Sources,"McGinley, DeVita",McGinley, DeVita,,,,,,,,"7/1/2013 -
6/30/15",2015,DNR,,219
Assessment of Environmental Impacts of Geothermal Source Heat Exchange,"Christopher Choi, David Hart and James Tinjum, WGNHS",Christopher Choi, David Hart ,James Tinjum,,,,,,,"7/1/2014 -
6/30/16",2016,UWS,WR14R 002,
Hydrologic Impacts of the Loss of Wisconsin's Winter on Surface Water- Groundwater Interactions,"Steven Loheide, UW- MSN",Steven Loheide,,,,,,,,,"7/1/2014 -
6/30/16",2016,UWS,WR14R 003,
Effect of Source Chemistry on Mn- Bearing Solid Dissolution and Reactivity in Municipal Water Systems,"Matthew Gindervogel and Christina Remucal, UW-MSN",Matthew Gindervogel, Christina Remucal,,,,,,,,"7/1/2014 -
6/30/16",2016,UWS,WR14R 004,
Design of a field-scale approach for evaluating nitrogen management practices impacts to groundwater,Kevin Masarik,Kevin Masarik,,,,,,,,,"7/1/2014 -
6/30/15",2015,DNR,,220
Reducing Human Health Risks from Groundwater: Estimating Private Well Testing Behaviors and Water Use Among Private Well Owners in Wisconsin,Kristen Malecki,Kristen Malecki,,,,,,,,,"7/1/2014 -
6/30/15",2015,DNR,,221
Meeting the Source Assessment Requirement under the RTCR: A Wisconsin Pilot Project,Sharon C. Long,Sharon C. Long,,,,,,,,,"7/1/2014 -
6/30/16",2016,DNR,,222
Monitoring and Modeling Support for Groundwater Management and Policy in the Wisconsin Central Sands,George Kraft,George Kraft,,,,,,,,,"7/1/2014 -
6/30/16",2016,DNR,,223
An updated springs inventory for the State of Wisconsin,Kenneth Bradbury and Susan Swanson,Kenneth Bradbury ,Susan Swanson,,,,,,,,"7/1/2014 -
6/30/17",2017,DNR,,224
The Wonewoc and Tunnel City: A Potential Natural Source of Groundwater Contamination in Western & Central Wisconsin,"Jay Zambito, Michael Parsen, Patrick McLaughlin, UW- Extension",Jay Zambito, Michael Parsen, Patrick McLaughlin,,,,,,,"7/1/15-
6/30/16",2016,UWS,WR15R 004,
Long-term Alterations in Groundwater Chemistry Induced by Municipal Well Pumping,"Jean Bahr, Madeline Gotkowitz, UW-Madison and UW-Extension",Jean Bahr, Madeline Gotkowitz,,,,,,,,"7/1/15-
6/30/17",2017,UWS,WR15R 002,
Phosphorus & Arsenic Sensors for Real Time Environmental Monitoring,"Daniel Noguera, Marc Anderson, UW-Madison",Daniel Noguera, Marc Anderson,,,,,,,,"7/1/15-
6/30/17",2017,UWS,WR15R 001,
Engaging Stakeholders to Improve the Use of Groundwater Flow Models for Decision Making,"Kenneth Genskow, Kenneth Bradbury. UW- Madison and UW- Extension",Kenneth Genskow, Kenneth Bradbury,,,,,,,,"7/1/15-
6/30/16",2016,UWS,WR15R 005,
Predicting the locations of nitrate removal hotspots at the groundwater- surface water interface in Wisconsin streams,"Robert Stelzer, UW- Oshkosh",Robert Stelzer,,,,,,,,,"7/1/15-
6/30/17",2017,UWS,WR15R 003,
Describing connected fracture flow with pressure waves – oscillating flow interference testing,"Michael Cardiff, UW- Madison",Michael Cardiff,,,,,,,,,"7/1/15-
6/30/17",2017,DNR,,225
Evaluation of Quantitative Real Time PCR (qPCR) for the Measurement of E. coli in Well Water Samples,"Greg Kleinheinz, Nilay Sheth, UW-Oshkosh",Greg Kleinheinz, Nilay Sheth,,,,,,,,"7/1/15-
6/30/16",2016,DNR,,226
Anthropogenically driven changes to the metagenome of a shallow groundwater and its effect on aquifer reactivity,"Tim Grundl, Ryan Newton, UW-Milwaukee",Tim Grundl, Ryan Newton,,,,,,,,"7/1/16-
6/30/18",2018,UWS,WR16R 001,
Investigating the impact of nitrate- nitrogen contamination on uranium concentrations in Wisconsin groundwater,"Amy Nitka, Paul McGinley, UW-Stevens Point",Amy Nitka, Paul McGinley,,,,,,,,"7/1/16-
6/30/17",2017,UWS,WR16R 002,
Geologic sources of radium to municipal wells in Wisconsin,"Matthew Ginder-Vogel, Madeline Gotkowitz, UW Madison",Matthew Ginder-Vogel, Madeline Gotkowitz,,,,,,,,"7/1/16-
6/30/18",2018,UWS,WR16R 006,
Characterizing the timing and variability of enteric pathogen contamination within the dolomite aquifer in northeastern WI,"Maureen Muldoon, UW- Oshkosh and Mark Borchardt, USDA/USGS",Maureen Muldoon, Mark Borchardt,,,,,,,,"7/1/16-
6/30/17",2017,DNR,,227
Linking groundwater and climate to understand long-term lake level fluctuations in Wisconsin,"Noah Lottig, UW- Madison",Noah Lottig,,,,,,,,,"7/1/16-
6/30/18",2018,DNR,,228
Field verification of adenovirus assays for source tracking,"Sharon Long, UW- Madison",Sharon Long,,,,,,,,,"7/1/16-
6/30/17",2017,DNR,,229
Evaluating the effects of septic system density on groundwater quality in Southeastern Wisconsin,"James A. LaGro, UW- Madison",James A. LaGro,,,,,,,,,"7/1/16-
6/30/17",2017,DNR,,230
Monitoring support for groundwater management in the Wisconsin Central Sands,"George Kraft, UW- Stevens Point",George Kraft,,,,,,,,,"7/1/16-
6/30/17",2017,DNR,,231
Source investigation of nitrate contamination for private wells in Eau Claire County,"Laura Suppes, UW-Eau Claire",Laura Suppes,,,,,,,,,"7/1/16-
6/30/18",2018,DNR,,232
Linking groundwater and nutrients to monitor fen ecosystems using airborne imaging spectroscopy,"Eric Booth, Steven Loheide, David Bart, Philip Townsend, UW–Madison",Eric Booth, Steven Loheide, David Bart, Philip Townsend,,,,,,"7/1/17-
6/30/19",2019,UWS,WR17R 001,
Historic changes in groundwater use by trees in Wisconsin due to high- capacity groundwater pumping and climate variability,"Steven Loheide,
UW–Madison",Steven Loheide,,,,,,,,,"7/1/17-
6/30/19",2019,UWS,WR17R 002,
"Mapping the base of the Cambrian aquifer through geophysical modeling of Precambrian topography, southern Wisconsin","Esther Stewart, Madeline Gotkowitz, UW–Extension",Esther Stewart, Madeline Gotkowitz,,,,,,,,"7/1/17-
6/30/18",2018,UWS,WR17R 003,
New proxy-based hydrological reconstructions over the past five centuries in southwest Wisconsin,"Christopher Underwood, Evan Larson, UW–Platteville",Christopher Underwood, Evan Larson,,,,,,,,"7/1/17-
6/30/18",2018,UWS,WR17R 004,
Quantifying effects of crop rotation on nitrate loading using lysimetry and groundwater monitoring approaches,"Kevin Masarik,
UW–Stevens Point",Kevin Masarik,,,,,,,,,"7/1/17-
6/30/19",2019,DNR,,233
Multi-instrument stream surveys with continuous data for better groundwater/surface water understanding in Wisconsin,"Dave Hart, Susan Swanson, UW–Extension (WGNHS)",Dave Hart, Susan Swanson,,,,,,,,"7/1/17-
6/30/19",2019,DNR,,234
The impact of dissolved organic matter composition on the formation of disinfection byproducts in groundwater,"Christina Remucal, UW-Madison",Christina Remucal,,,,,,,,,"7/1/2018 -
6/30/2020",2020,UWS,WRI18 R003,
Improving water and nitrogen use efficiency under changing weather variability in the Central Sands,"Christopher Kucharik, UW-Madison
Matthew Ruark, UW- Madison",Christopher Kucharik,,,,,,,,,"7/1/2018 -
6/30/2020",2020,UWS,WRI18 R001,
Dynamics of Arsenic concentration and speciation in Wisconsin private drinking water wells,"Shangping Xu, UW- Milwaukee
Yin Wang, UW- Milwaukee",Shangping Xu,,,,,,,,,"7/1/2018 -
6/30/2020",2020,UWS,WRI18 R002,
Identification of naturally occurring fluoride and selected metals in northwestern Wisconsin groundwater,"Kelsey Prihoda, UW- Superior
Thomas Markee, UW- Superior
Christine Polkinghorne, UW- Superior",Kelsey Prihoda,,,,,,,,,"7/1/2018 -
6/30/2020",2020,DNR,,235
"Geographic, hydrologic, and geochemical characterization of Ra contaminated groundwater in Wisconsin","Matthew Ginder- Vogel, UW-Madison Madeline Gotkowitz, UW-Extension Florence Olson, WI DNR",Matthew Ginder- Vogel, Madeline Gotkowitz, Florence Olson,,,,,,,"7/1/2018 -
6/30/2020",2020,DNR,,236
Assessment of pesticide contamination in suburban drinking water wells in Southeastern Wisconsin,"Yin Wang, UW- Milwaukee Shangping Xu, UW- Milwaukee",Yin Wang,  Shangping Xu,,,,,,,,"7/1/2018 -
6/30/2020",2020,DATCP,DATCP 2018-1,
